CityName,PinCode,Name of Location ,State Name,Region,COD,Provider,zone_id
Pudukkottai,622501,Pudukkottai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Pudukkottai,622505,Pudukkottai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Ramanathapuram,623501,Ramanathapuram,Tamil Nadu,SOUTH,N,ARAMEX,1503
Ramanathapuram,623707,Paramakudi,Tamil Nadu,SOUTH,N,ARAMEX,1503
Dindigul,624001,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Dindigul,624002,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Dindigul,624003,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Dindigul,624004,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Dindigul,624005,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Madurai,624006,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Madurai,624007,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Madurai,624008,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Madurai,624009,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Madurai,624010,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Madurai,624051,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Madurai,624052,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Madurai,624053,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Dindigul,624054,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Dindigul,624101,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Madurai,624102,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Dindigul,624103,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Dindigul,624104,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Madurai,624107,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Madurai,624108,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Dindigul,624201,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Dindigul,624202,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Madurai,624203,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Dindigul,624204,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Madurai,624205,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Madurai,624207,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Dindigul,624208,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Madurai,624209,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Dindigul,624210,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Dindigul,624211,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Dindigul,624212,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Dindigul,624213,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Madurai,624214,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Dindigul,624215,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Dindigul,624216,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Madurai,624217,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Madurai,624218,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Dindigul,624219,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Dindigul,624220,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Madurai,624221,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Madurai,624222,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Madurai,624223,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Madurai,624224,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Madurai,624225,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Madurai,624226,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Madurai,624227,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Dindigul,624228,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Madurai,624230,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Madurai,624231,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Madurai,624232,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Madurai,624233,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Madurai,624234,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Madurai,624235,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Dindigul,624301,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Dindigul,624302,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Dindigul,624303,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Dindigul,624304,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Madurai,624305,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Dindigul,624306,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Dindigul,624307,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Dindigul,624308,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Madurai,624309,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Madurai,624310,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Madurai,624311,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Dindigul,624312,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Madurai,624313,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Dindigul,624314,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Madurai,624315,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Dindigul,624316,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
Madurai,624317,Madurai,Tamil Nadu,SOUTH,N,ARAMEX,1503
