CityName,PinCode,Name of Location ,Region,COD,zone_id,Provider
Gurdaspur,143527,Gurdaspur,North,1,1500,ARAMEX
Gurdaspur,143528,Gurdaspur,North,1,1500,ARAMEX
Gurdaspur,143529,Gurdaspur,North,1,1500,ARAMEX
Gurdaspur,143530,Gurdaspur,North,1,1500,ARAMEX
Jalandhar,144001,Jallandhar,North,1,1500,ARAMEX
Jalandhar,144002,Jallandhar,North,1,1500,ARAMEX
Jalandhar,144003,Jallandhar,North,1,1500,ARAMEX
Jalandhar,144004,Jallandhar,North,1,1500,ARAMEX
Jalandhar,144005,Jallandhar,North,1,1500,ARAMEX
Jalandhar,144006,Jallandhar,North,1,1500,ARAMEX
Jalandhar,144007,Jallandhar,North,1,1500,ARAMEX
Jalandhar,144008,Jallandhar,North,1,1500,ARAMEX
Jalandhar,144009,Jallandhar,North,1,1500,ARAMEX
Jalandhar,144010,Jallandhar,North,1,1500,ARAMEX
Jalandhar,144011,Jallandhar,North,1,1500,ARAMEX
Jalandhar,144012,Jalandhar,North,1,1500,ARAMEX
Jalandhar,144013,Jalandhar,NORTH,1,1500,ARAMEX
Jalandhar,144014,Jalandhar,North,1,1500,ARAMEX
Jalandhar,144020,Jalandhar,North,1,1500,ARAMEX
Jalandhar,144021,Jallandhar,North,1,1500,ARAMEX
Jalandhar,144022,Jallandhar,North,1,1500,ARAMEX
Jalandhar,144023,Jallandhar,North,1,1500,ARAMEX
Nawanshahr,144024,Nawanshahr,North,1,1500,ARAMEX
Jalandhar,144025,Jalandhar,North,1,1500,ARAMEX
Jalandhar,144026,Jalandhar,North,1,1500,ARAMEX
Jalandhar,144027,Jallandhar,North,1,1500,ARAMEX
Kapurthala,144033,Nakodar,NORTH,1,1500,ARAMEX
Jalandhar,144039,Nakodar,NORTH,1,1500,ARAMEX
Jalandhar,144040,Nakodar,NORTH,1,1500,ARAMEX
Jalandhar,144041,Nakodar,NORTH,1,1500,ARAMEX
Hoshiarpur,144211,Pathankot,North,1,1500,ARAMEX
Hoshiarpur,144216,Pathankot,North,1,1500,ARAMEX
Kapurthala,144401,Phagwara,North,1,1500,ARAMEX
Kapurthala,144402,Phagwara,North,1,1500,ARAMEX
Jalandhar,144409,Jalandhar,North,1,1500,ARAMEX
Jalandhar,144410,Goraya,NORTH,1,1500,ARAMEX
Jalandhar,144416,Goraya,NORTH,1,1500,ARAMEX
Nawanshahr,144505,Banga,NORTH,1,1500,ARAMEX
Nawanshahr,144506,Banga,NORTH,1,1500,ARAMEX
Nawanshahr,144507,Banga,NORTH,1,1500,ARAMEX
Nawanshahr,144508,Banga,NORTH,1,1500,ARAMEX
Nawanshahr,144514,Jallandhar,North,1,1500,ARAMEX
Nawanshahr,144515,Banga,NORTH,1,1500,ARAMEX
Nawanshahr,144517,Banga,NORTH,1,1500,ARAMEX
Nawanshahr,144524,Banga,NORTH,1,1500,ARAMEX
Nawanshahr,144526,Banga,NORTH,1,1500,ARAMEX
Nawanshahr,144527,Banga,NORTH,1,1500,ARAMEX
Hoshiarpur,144528,Banga,NORTH,1,1500,ARAMEX
Gurdaspur,145001,Pathankot,North,1,1500,ARAMEX
Hoshiarpur,146001,Hoshiarpur,North,1,1500,ARAMEX
Hoshiarpur,146021,Hoshiarpur,North,1,1500,ARAMEX
Hoshiarpur,146022,Hoshiarpur,North,1,1500,ARAMEX
Hoshiarpur,146023,Hoshiarpur,North,1,1500,ARAMEX
Hoshiarpur,146024,Hoshiarpur,North,1,1500,ARAMEX
Hoshiarpur,146111,Hoshiarpur,North,1,1500,ARAMEX
Patiala,147001,Patiala,North,1,1500,ARAMEX
Patiala,147002,Patiala,North,1,1500,ARAMEX
Patiala,147003,Patiala,North,1,1500,ARAMEX
Patiala,147004,Patiala,North,1,1500,ARAMEX
Patiala,147005,Patiala,North,1,1500,ARAMEX
Patiala,147021,Patiala,North,1,1500,ARAMEX
Patiala,147201,Ambala,North,1,1486,ARAMEX
Patiala,147301,Mandi Gobindgarh,NORTH,1,1500,ARAMEX
Sangrur,148001,Sangrur,NORTH,1,1500,ARAMEX
Sangrur,148023,Malerkotla,NORTH,1,1500,ARAMEX
Sangrur,148026,Patiala,NORTH,1,1500,ARAMEX
Sangrur,148101,Bhatinda,North,1,1500,ARAMEX
Bathinda,151001,Bhatinda,North,1,1500,ARAMEX
Bathinda,151002,Bhatinda,North,1,1500,ARAMEX
Bathinda,151003,Bhatinda,North,1,1500,ARAMEX
Bathinda,151004,Bhatinda,NORTH,1,1500,ARAMEX
Bathinda,151005,Bhatinda,North,1,1500,ARAMEX
Bathinda,151101,Bhatinda,North,1,1500,ARAMEX
Bathinda,151103,Bhatinda,North,1,1500,ARAMEX
Bathinda,151201,Bhatinda,North,1,1500,ARAMEX
Faridkot,151203,Bhatinda,North,1,1500,ARAMEX
Faridkot,151204,Bhatinda,North,1,1500,ARAMEX
Faridkot,151205,Faridkot,North,1,1500,ARAMEX
Bathinda,151301,Bhatinda,North,1,1500,ARAMEX
Mansa,151505,Bhatinda,North,1,1500,ARAMEX
Firozpur,152001,Bhatinda,North,1,1500,ARAMEX
Firozpur,152002,Bhatinda,North,1,1500,ARAMEX
Firozpur,152024,Bhatinda,North,1,1500,ARAMEX
Muktsar,152026,Muktsar,NORTH,1,1500,ARAMEX
Muktsar,152101,Bhatinda,North,1,1500,ARAMEX
Muktsar,152107,Malout,NORTH,1,1500,ARAMEX
Firozpur,152116,Bhatinda,North,1,1500,ARAMEX
Firozpur,152123,Bhatinda,North,1,1500,ARAMEX
Chandigarh,160001,Chandigarh,North,1,1480,ARAMEX
Chandigarh,160002,Chandigarh,North,1,1480,ARAMEX
Chandigarh,160003,Chandigarh,North,1,1480,ARAMEX
Chandigarh,160004,Chandigarh,North,1,1480,ARAMEX
Chandigarh,160008,Chandigarh,North,1,1480,ARAMEX
Chandigarh,160009,Chandigarh,North,1,1480,ARAMEX
Chandigarh,160010,Chandigarh,North,1,1480,ARAMEX
Chandigarh,160011,Chandigarh,North,1,1480,ARAMEX
Chandigarh,160012,Chandigarh,North,1,1480,ARAMEX
Chandigarh,160014,Chandigarh,North,1,1480,ARAMEX
Chandigarh,160015,Chandigarh,North,1,1480,ARAMEX
Chandigarh,160016,Chandigarh,North,1,1480,ARAMEX
Chandigarh,160017,Chandigarh,North,1,1480,ARAMEX
Chandigarh,160018,Chandigarh,North,1,1480,ARAMEX
Chandigarh,160019,Chandigarh,North,1,1480,ARAMEX
Chandigarh,160020,Chandigarh,North,1,1480,ARAMEX
Chandigarh,160022,Chandigarh,North,1,1480,ARAMEX
Chandigarh,160023,Chandigarh,North,1,1480,ARAMEX
Chandigarh,160025,Chandigarh,North,1,1480,ARAMEX
Chandigarh,160026,Chandigarh,North,1,1480,ARAMEX
Chandigarh,160030,Chandigarh,North,1,1480,ARAMEX
Chandigarh,160031,Chandigarh,North,1,1480,ARAMEX
Chandigarh,160035,Chandigarh,North,1,1480,ARAMEX
Chandigarh,160036,Chandigarh,North,1,1480,ARAMEX
Chandigarh,160046,Chandigarh,North,1,1480,ARAMEX
Chandigarh,160047,Mohali,North,1,1500,ARAMEX
Chandigarh,160051,Chandigarh,North,1,1480,ARAMEX
Chandigarh,160055,Mohali,North,1,1500,ARAMEX
Chandigarh,160056,Mohali,North,1,1500,ARAMEX
Chandigarh,160058,Chandigarh,NORTH,1,1480,ARAMEX
Chandigarh,160059,Mohali,North,1,1500,ARAMEX
Chandigarh,160061,Chandigarh,North,1,1480,ARAMEX
Chandigarh,160062,Mohali,North,1,1500,ARAMEX
Chandigarh,160071,Mohali,North,1,1500,ARAMEX
Chandigarh,160101,Chandigarh,North,1,1480,ARAMEX
Chandigarh,160103,Mohali,NORTH,1,1500,ARAMEX
Chandigarh,160106,Chandigarh,North,1,1480,ARAMEX
Chandigarh,166031,Chandigarh,North,1,1480,ARAMEX
Shimla,171001,Shimla,North,1,1487,ARAMEX
Shimla,171002,Shimla,North,1,1487,ARAMEX
Shimla,171003,Shimla,North,1,1487,ARAMEX
Shimla,171004,Shimla,NORTH,1,1487,ARAMEX
Shimla,171005,Shimla,North,1,1487,ARAMEX
Shimla,171008,Shimla,North,1,1487,ARAMEX
Shimla,171009,Shimla,NORTH,1,1487,ARAMEX
Shimla,171010,Shimla,North,1,1487,ARAMEX
Sirmaur,173025,Sirmaur,North,1,1487,ARAMEX
Solan,173205,Baddi,NORTH,1,1487,ARAMEX
Solan,173211,Solan,North,1,1487,ARAMEX
Solan,173212,Solan,North,1,1487,ARAMEX
Solan,173213,Solan,NORTH,1,1487,ARAMEX
Solan,173214,Solan,North,1,1487,ARAMEX
Solan,173220,Solan,North,1,1487,ARAMEX
Solan,174101,Solan,North,1,1487,ARAMEX
Solan,174103,Solan,North,1,1487,ARAMEX
Una,174303,Una,NORTH,1,1487,ARAMEX
Una,174315,Una,NORTH,1,1487,ARAMEX
